position_id	claim_index	linked_hypothesis_id	verdict	flags	reasons	school_prediction	current_polarity	claim_years_range	claim_countries	hyp_period	hyp_countries_count	claim_outcomes	hyp_outcomes	claim_entities	hyp_entities	claim_text
austrian	0	m2_expansion_correlates_with_asset_price_inflation	PASS			supported	aligned			2008-2025	10	financial_crisis,inflation	financial_crisis,inflation,monetary_policy			Monetary expansion produces asset price inflation with a lag across developed economies.
austrian	1	hyperinflation_requires_fiscal_dominance	PASS			supported	aligned			1900-2025	14	inflation	inflation,monetary_policy		zimbabwe_hyperinflation	Hyperinflation requires fiscal dominance as root cause.
austrian	2	fiat_expansion_erodes_currency_purchasing_power_long_run	PASS			supported	aligned			1971-2025	7					Fiat currencies lose purchasing power against hard assets over long horizons.
austrian	3	post_soviet_market_reform_life_expectancy	PASS			supported	aligned		RUS	1989-2019	20	health_mortality	health_mortality		covid	Countries that rapidly adopted market reforms after the fall of the Soviet Union experienced better long-run life expectancy than countries that retained state-socialist structures.
austrian	4	venezuela_chavismo_framework_validation	FAIL	OUTCOME_MISMATCH	claim outcomes ['privatisation'] disjoint from hypothesis outcomes ['institutional_quality']	supported	aligned	1999-2013	USA,VEN	1996-2023	7	privatisation	institutional_quality	chavez,chavismo	chavez,chavismo,maduro	Venezuelan Chavismo-era policy (nationalisation + price controls + FX controls + monetary-fiscal fusion) produced systematic economic collapse relative to Latin American commodity-exporter peers.
austrian	5	argentina_default_collapse_output_effects	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1989-2001	ARG,AUT		0			menem	menem	Argentine convertibility and subsequent collapse (Menem 1991–2001) reflects rule-based money's appeal combined with fixed-regime rigidity risk that Austrian theory predicts.
austrian	6	qe_asset_inflation_vs_cpi_divergence_post_2008	PASS			supported	aligned	2008-2022		2008-2023	8	inflation	inflation,monetary_policy	qe	qe	Post-2008 QE programmes produced asset-price inflation without proportional consumer-price inflation — a specific empirical pattern consistent with ABCT's weaker form.
austrian	7	central_bank_independence_inflation_discipline	PASS			supported	aligned			1990-2023	29	inflation,monetary_policy	inflation,trade_liberalisation			Countries maintaining central bank independence experience fewer hyperinflation episodes than countries where monetary policy is subordinated to fiscal needs.
austrian	8	procyclical_fiscal_expansion_boom_bust	PASS			supported	aligned	1997-2015	ARG,GBR	1995-2023	34		gdp_growth,trade_liberalisation	blair,kirchner	blair,kirchner	Unfunded government fiscal expansions during boom periods (as in Blair–Brown 2001–2007 UK and Kirchner Argentina 2003–2015) produce subsequent structural fiscal weakness.
austrian	9	hyperinflation_requires_fiscal_dominance	PASS			supported	aligned	2000-2008	ZWE	1900-2025	14	inflation,monetary_policy	inflation,monetary_policy	zimbabwe_hyperinflation	zimbabwe_hyperinflation	Zimbabwe's 2000–2008 land-reform-plus-monetisation episode produced hyperinflation because the central bank monetised fiscal deficits once property-right expropriation collapsed the tax base — an instance of fiscal dominance.
austrian	10	argentina_default_collapse_output_effects	REVIEW	GEO_UNVERIFIABLE,OUTCOME_UNVERIFIABLE	hypothesis has no sample.countries list; no outcome keywords detected in hypothesis; claim mentions ['inflation']	supported	aligned	1989-2001	AUT		0	inflation		menem	menem	Menem's 1991–2001 currency board succeeded at controlling inflation while rigid, but collapsed when fiscal profligacy at provincial level produced debt-service costs the fixed regime could not absorb — vindicating the Austrian warning that rule-based money cannot substitute for fiscal discipline.
austrian	11	argentina_default_collapse_output_effects	FAIL	GEO_UNVERIFIABLE,OUTCOME_UNVERIFIABLE,POLICY_NAMED_ABSENT	hypothesis has no sample.countries list; no outcome keywords detected in hypothesis; claim mentions ['inflation', 'monetary_policy']; claim references ['milei'] — not found in hypothesis text (hyp entities: ['menem'])	supported	aligned	2023-2027	ARG		0	inflation,monetary_policy		milei	menem	Milei's 2023–2024 fiscal-first shock therapy (eliminating primary deficit, ending central bank deficit monetisation) will show faster inflation stabilisation than any prior Argentine programme that tried price controls or heterodox stabilisation first.
austrian	12	price_controls_shortage_effect	PASS			supported	aligned	1999-2013	AUT,VEN	1970-2023	4		inflation,regulatory	chavez,chavismo	chavez,chavismo,gorbachev,kirchner	Soviet and Chavismo-era Venezuelan price controls produced the specific pattern Austrian calculation-debate theory predicts: shortages, quality degradation, black markets, and producer exit — not merely distributional effects.
austrian	13	fiat_expansion_erodes_currency_purchasing_power_long_run	FAIL	ERA_MISMATCH,OUTCOME_UNVERIFIABLE	claim refers to 1914-1914; hypothesis period 1971-2025; no outcome keywords detected in hypothesis; claim mentions ['inflation', 'welfare_state']	supported	aligned	1914-1914		1971-2025	7	inflation,welfare_state				Pre-1914 classical-gold-standard episodes (excluding wartime suspensions) show lower long-run average inflation than any comparable-length fiat-regime sample, even if short-run price-level volatility is higher.
austrian	14	milei_reforms_reduce_argentine_inflation	PASS			supported	aligned	2023-2027	ARG,AUT	2018-2027	1	inflation	inflation	milei	menem,milei	Milei's fiscal-first stabilisation produces monthly Argentine CPI inflation below 5% m/m within 12 months and below 3% m/m within 18 months of inauguration, faster than any prior non-dollarisation LatAm stabilisation, vindicating the Austrian fiscal-dominance-removal reading of disinflation.
austrian	15	maduro_era_venezuelan_collapse_decomposition_2013_2023	PASS			supported	aligned	2013-2024	USA,VEN	2005-2023	7		inflation	maduro	maduro	The 2013-2023 Maduro-era Venezuelan cumulative >70% output collapse is predominantly driven by domestic monetary-fiscal fusion and political-destabilisation channels rather than by the exogenous oil shock or US sanctions alone; the institutional channel is load-bearing.
austrian	16	milei_shock_therapy_output_recovery_trajectory	PASS			supported	aligned	2023-2027	ARG,AUT	2015-2027	7	gdp_growth	gdp_growth	milei	milei	Argentine real GDP under Milei shock-therapy recovers faster than the LatAm peer average after the initial 2024H1 contraction, consistent with Austrian claim that post-stabilisation recoveries are front-loaded once fiscal-dominance distortion is removed.
chicago_monetarism	0	hyperinflation_requires_fiscal_dominance	PASS			supported	aligned			1900-2025	14	inflation	inflation,monetary_policy		zimbabwe_hyperinflation	Hyperinflations always involve fiscal dominance (monetary accommodation of deficits).
chicago_monetarism	1	m2_expansion_correlates_with_asset_price_inflation	PASS			supported	aligned			2008-2025	10	financial_crisis,inflation,monetary_policy	financial_crisis,inflation,monetary_policy			M2 growth correlates with asset price inflation with a lag.
chicago_monetarism	2	volcker_disinflation_output_recovery	PASS			supported	aligned	1979-1987			0	inflation	inflation	volcker	volcker	Volcker's 1979–1982 disinflation produced output recovery by 1984 once inflation expectations re-anchored, vindicating the monetarist claim that credible rule-based tightening imposes finite transition costs.
chicago_monetarism	3	central_bank_independence_inflation_discipline	PASS			supported	aligned	1989-2006	GBR	1990-2023	29	inflation,monetary_policy	inflation,trade_liberalisation			Countries that grant statutory central bank independence (Bundesbank, post-1997 Bank of England, post-1989 RBNZ) experience lower average inflation than peers that retain political monetary control, controlling for initial conditions.
chicago_monetarism	4	natural_rate_hypothesis_long_run_phillips_vertical	PASS			supported	aligned	1970-1979			0	employment_labour,inflation	employment_labour,inflation	friedman,phillips_curve	friedman,phillips_curve	Cross-country Phillips-curve data post-1970 shows no stable unemployment-inflation tradeoff in the long run, consistent with Friedman's natural-rate hypothesis.
chicago_monetarism	5	friedman_schwartz_great_depression_monetary_cause	PASS			supported	aligned	1929-1939			0	monetary_policy	monetary_policy	great_depression	great_depression	The Fed's 1929–1933 contraction of M2 by approximately one-third was the proximate cause of the Great Depression's severity, not a Keynesian demand-collapse failure.
chicago_monetarism	6	qe_asset_inflation_vs_cpi_divergence_post_2008	PASS			mixed	aligned	2008-2022		2008-2023	8	inflation	inflation,monetary_policy	qe	qe	Post-2008 QE did not produce the CPI inflation monetarist quantity-theory would predict because the money-multiplier collapsed with banks parking reserves; base-money expansion was partially sterilised.
chicago_monetarism	7	chile_chicago_boys_monetary_stabilisation_effect	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1973-1990	CHL,USA		0	inflation	inflation	pinochet	pinochet	Pinochet-era Chile's monetary stabilisation (post-1975, advised by Chicago Boys) produced lower inflation and higher growth than contemporaneous Latin American countries using heterodox stabilisation.
chicago_monetarism	8	deregulation_productivity_effect	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1978-1993	GBR,NZL,USA		0	productivity,regulatory	productivity,regulatory	rogernomics	rogernomics	Deregulation episodes (US transportation 1978–1980, UK telecoms 1984, NZ Rogernomics 1984–1993) show measurable TFP gains in the deregulated sectors within a decade.
chicago_monetarism	9	trade_liberalisation_growth_effect	FAIL	POLICY_NAMED_ABSENT	claim references ['nafta'] — not found in hypothesis text (hyp entities: ['doi_moi', 'india_1991', 'rogernomics', 'singh', 'solow', 'wto'])	supported	aligned	1978-2020	CHN,IND,MEX	1980-2023	30	gdp_growth,trade_liberalisation	gdp_growth,labour_share,productivity,trade_liberalisation	india_1991,nafta	doi_moi,india_1991,rogernomics,singh,solow,wto	Trade liberalisation episodes (China post-1978, India 1991, Mexico NAFTA 1994) are followed by per-capita output growth acceleration, not deceleration, in the liberalising economy.
chicago_monetarism	10	reagan_tax_cuts_growth_effect	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	inverted	1981-1989	USA		0		gdp_growth	reagan	reagan	US Reagan-era marginal-rate reductions (1981, 1986) produced measurable labour-supply response at the top of the distribution, as identified in the tax-reform literature.
chicago_monetarism	11	rent_control_reduces_housing_supply_and_quality	FAIL	ERA_MISMATCH	claim refers to 1946-1946; hypothesis period 2000-2023	supported	aligned	1946-1946		2000-2023	3	housing_supply	housing_supply,inflation	friedman	kohl	Rent control in San Francisco, Berlin, and Stockholm produces measurable reductions in rental supply, unit quality, and turnover — the standard Friedman prediction from 'Roofs or Ceilings?' (1946).
chicago_monetarism	12	minimum_wage_disemployment_at_high_bite_ratios	PASS			supported	aligned				0	employment_labour	employment_labour			Minimum-wage increases above the local median-wage ratio produce disemployment effects at the low-skill margin, even if aggregate employment effects are small.
chicago_monetarism	13	hyperinflation_requires_fiscal_dominance	PASS			supported	aligned	2000-2008	ZWE	1900-2025	14	inflation,monetary_policy	inflation,monetary_policy	friedman,zimbabwe_hyperinflation	zimbabwe_hyperinflation	Zimbabwe's 2000–2008 hyperinflation involved monetary accommodation of fiscal deficits by a central bank that had lost operational independence, matching the Friedman-Schwartz pattern.
chicago_monetarism	14	milei_reforms_reduce_argentine_inflation	PASS			supported	aligned	2023-2027		2018-2027	1	inflation	inflation	milei	menem,milei	Milei's 2023-2025 stabilisation — removing BCRA financing of Treasury + achieving primary surplus — produces rapid disinflation consistent with monetarist view that inflation is a monetary phenomenon driven by fiscal dominance, with rule-based regime change producing finite transition costs and a clear nominal-anchor trajectory.
chicago_monetarism	15	milei_shock_therapy_output_recovery_trajectory	FAIL	OUTCOME_MISMATCH,POLICY_NAMED_ABSENT	claim outcomes ['inflation'] disjoint from hypothesis outcomes ['gdp_growth']; claim references ['volcker'] — not found in hypothesis text (hyp entities: ['milei'])	supported	aligned	1979-2027	ARG	2015-2027	7	inflation	gdp_growth	milei,volcker	milei	Argentine output recovery post-Milei shock follows the Volcker-disinflation template: transition recession followed by recovery once inflation expectations re-anchor and the new nominal anchor is credible.
classical_liberal	0	us_eu_gdp_per_capita_divergence_policy_causes	FAIL	OUTCOME_MISMATCH	claim outcomes ['gdp_growth'] disjoint from hypothesis outcomes ['employment_labour', 'productivity', 'regulatory', 'trade_liberalisation']	supported	aligned			1970-2023	15	gdp_growth	employment_labour,productivity,regulatory,trade_liberalisation			Trajectory analysis of liberalisation episodes shows output growth follows reforms (not precedes them).
classical_liberal	1	rent_control_reduces_housing_supply_and_quality	PASS			supported	aligned			2000-2023	3	housing_supply	housing_supply,inflation		kohl	Rent control and price controls produce shortages and misallocation.
classical_liberal	2	rule_of_law_institutional_growth	PASS			supported	aligned			1996-2023	60		gdp_growth,health_mortality,institutional_quality,trade_liberalisation			Property-rights and rule-of-law indices (WGI, Heritage) predict per-capita-income levels and growth rates in cross-country panel regressions, controlling for geography and initial conditions.
classical_liberal	3	economic_freedom_index_income_correlation	PASS			supported	aligned				0					Economic-freedom indices (Fraser, Heritage) correlate positively with per-capita income levels across countries, with the strongest sub-indices being legal-system and sound-money.
classical_liberal	4	trade_liberalisation_growth_effect	FAIL	POLICY_NAMED_ABSENT	claim references ['deng_reform', 'eu_single_market'] — not found in hypothesis text (hyp entities: ['doi_moi', 'india_1991', 'rogernomics', 'singh', 'solow', 'wto'])	supported	aligned	1978-2020	CHN,IND,NZL	1980-2023	30	trade_liberalisation	gdp_growth,labour_share,productivity,trade_liberalisation	deng_reform,eu_single_market,india_1991,rogernomics,wto	doi_moi,india_1991,rogernomics,singh,solow,wto	Trade liberalisation episodes (China 1978, India 1991, NZ Rogernomics, EU single market 1993, China WTO 2001) are followed within a decade by per-capita income acceleration relative to counterfactual non-reform paths.
classical_liberal	5	privatisation_productivity_effect	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1979-1990	GBR		0	privatisation,productivity	privatisation,productivity	thatcher	thatcher	Thatcher-era UK privatisations (BT, British Gas, BA, water utilities) produced measurable productivity gains and price reductions in the privatised sectors, net of cost-shifting concerns.
classical_liberal	6	nz_rogernomics_productivity_effect	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1984-1993	NZL		0	privatisation,productivity,trade_liberalisation	privatisation,productivity,trade_liberalisation	rogernomics	rogernomics	NZ Rogernomics 1984–1993 liberalisation (tariff removal, SOE corporatisation, financial-market liberalisation) produced productivity acceleration and real-income gains over 1990s–2000s relative to pre-reform trend.
classical_liberal	7	china_1978_price_liberalisation_growth_decomposition	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1978-2000	CHN		0	poverty_inequality	poverty_inequality	deng,deng_reform	deng,deng_reform	Deng Xiaoping's 1978 reforms, by introducing price signals and household responsibility in agriculture and Township-Village-Enterprise market exchange, account for the majority of Chinese poverty reduction 1978–2000 — not state investment.
classical_liberal	8	mitterrand_nationalisations_productivity_effect	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1981-1995	FRA		0	privatisation,productivity	privatisation,productivity	mitterrand	mitterrand	Mitterrand's 1981–1983 French nationalisations reduced productivity and required the 1983 'tournant de la rigueur' reversal, vindicating the classical-liberal diagnosis that political ownership distorts resource allocation.
classical_liberal	9	reagan_tax_cuts_growth_effect	PASS			supported	inverted	1981-1989			0	gdp_growth	gdp_growth	reagan	reagan	Reagan's 1981–1986 marginal-tax-rate reductions produced measurable labour-supply response at the top of the distribution, with output growth exceeding the pre-reform trend.
classical_liberal	10	price_controls_shortage_effect	FAIL	POLICY_NAMED_ABSENT	claim references ['nixon'] — not found in hypothesis text (hyp entities: ['chavez', 'chavismo', 'gorbachev', 'kirchner'])	supported	aligned	1971-2013	VEN	1970-2023	4		inflation,regulatory	chavez,chavismo,nixon	chavez,chavismo,gorbachev,kirchner	Price controls during Nixon 1971–1974 and Chavismo Venezuela produced the shortage-quality-degradation-black-market pattern predicted by classical price theory, not the consumer-welfare gains controls advocates project.
classical_liberal	11	occupational_licensing_productivity_drag	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned		USA		0	productivity,regulatory	productivity,regulatory			Excessive occupational-licensing scope (US state-level variation) reduces inter-state labour mobility and sector productivity relative to light-licensing alternatives.
classical_liberal	12	restrictive_zoning_housing_supply_elasticity	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1947-1990	GBR		0	housing_supply,inflation	housing_supply,inflation			UK Town and Country Planning Act 1947 and subsequent restrictive-zoning regimes produce measurable housing supply elasticity reductions and price level increases relative to more-permissive planning systems.
classical_liberal	13	clinton_welfare_reform_labour_participation_effect	PASS			supported	aligned	1993-2005			0	employment_labour,poverty_inequality,welfare_state	employment_labour,poverty_inequality,welfare_state	clinton,tanf	clinton,tanf	Clinton's 1996 welfare reform (TANF, work requirements) increased low-skill labour-force participation and reduced caseloads without the catastrophic child-poverty outcomes critics predicted.
classical_liberal	14	eu_regulatory_burden_productivity_drag	FAIL	POLICY_NAMED_ABSENT	claim references ['reach'] — not found in hypothesis text (hyp entities: ['ai_act', 'brexit', 'covid', 'csrd', 'gdpr'])	supported	aligned	2000-2020		2015-2023	11	productivity,regulatory	productivity,regulatory,trade_liberalisation	ai_act,csrd,gdpr,reach	ai_act,brexit,covid,csrd,gdpr	EU regulatory burden (REACH, GDPR, AI Act, CSRD) produces measurable productivity drag relative to lighter-regulation peer economies over 2000–2020, consistent with classical-liberal theory on compliance deadweight.
degrowth	0	us_eu_gdp_per_capita_divergence_policy_causes	PASS			mixed	inverted		USA	1970-2023	15		employment_labour,productivity,regulatory,trade_liberalisation			Energy-cost divergence drives US-EU GDP gap rather than policy per se (if US energy-advantage were equalised, gap would narrow).
degrowth	1	absolute_decoupling_global_material_throughput	PASS			supported	aligned	1970-2020			0	gdp_growth,wage_stagnation	gdp_growth,wage_stagnation			Absolute decoupling of GDP growth from material throughput has not been sustained at global scale 1970-2020; reported decoupling in advanced economies reflects offshored manufacturing and is reversed under consumption-based accounting.
degrowth	2	gdp_energy_coupling_1945_1973	PASS			supported	aligned	1945-1973			0	gdp_growth	gdp_growth			Post-1945 Western GDP growth 1945-1973 tracked closely with energy and resource use; the assumption that this coupling is severable has not been empirically demonstrated at policy-relevant scale.
degrowth	3	reduced_working_time_output_employment	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	2000-2019	FRA,ISL		0	employment_labour	employment_labour			Reduced working-time experiments (French 35-hour week 2000, Icelandic four-day-week trial 2015-2019) did not produce the catastrophic output or employment consequences predicted by standard models.
degrowth	4	gdp_wellbeing_divergence_income_threshold	PASS			supported	aligned				0	health_mortality	health_mortality			Wellbeing-indicator measures (life satisfaction, ISEW/GPI, HDI) diverge from GDP per capita above roughly $25-35k per capita, indicating that further growth delivers diminishing welfare returns in rich economies.
degrowth	5	cuba_special_period_degrowth_basic_needs	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	mixed	aligned	1989-2000	CUB		0					Cuban post-1991 Special Period forced degrowth (GDP contracting ~35% over 1989-1993) demonstrated that basic-needs provision can be maintained during rapid material-throughput reduction when institutions are aligned.
degrowth	6	post_2008_oecd_growth_emissions_path	PASS			supported	aligned	2005-2017			0	energy_climate,gdp_growth	energy_climate,gdp_growth			Post-2008 OECD GDP growth has slowed to roughly 1-2% trend levels while per-capita emissions remain above 1.5C-consistent paths, falsifying the 'green growth will solve it' forecasts of 2005-2010 IPCC scenarios.
degrowth	7	ubs_material_throughput_efficiency	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1945-1973	GBR		0					Universal Basic Services provision (UK post-war, Nordic) delivers equivalent wellbeing outcomes to consumption-based equivalents at lower material-throughput levels.
degrowth	8	japan_stagnation_wellbeing_outcomes	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1990-2020	JPN		0	gdp_growth,health_mortality	gdp_growth,health_mortality			Japanese stagnation 1990-2020 (mean GDP growth under 1%) coincided with stable or improving wellbeing indicators (life expectancy, life satisfaction), refuting the claim that zero-growth necessarily degrades human outcomes.
degrowth	9	eu_green_deal_decoupling_pace_vs_target	PASS			mixed	aligned	2020-2020			0	energy_climate,gdp_growth,wage_stagnation	energy_climate,gdp_growth,wage_stagnation			EU Green Deal 2020-present emissions reductions have outpaced aggregate GDP growth, showing partial decoupling, but at rates still below 1.5C-consistent pathways.
degrowth	10	costa_rica_wellbeing_throughput_efficiency	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	1950-1959	USA		0	health_mortality	health_mortality			Costa Rican post-1950 development path achieves life expectancy comparable to the US at roughly one-fifth the per-capita material throughput, demonstrating the feasibility of high-wellbeing low-throughput trajectories.
degrowth	11	us_post_2008_gdp_vs_gpi_divergence	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	supported	aligned	2008-2017	USA		0					US post-2008 recovery shows rising GDP per capita alongside stagnant or declining median-household ISEW/GPI indicators, consistent with Daly's diminishing-returns-to-growth.
degrowth	12	material_footprint_cap_feasibility	REVIEW	GEO_UNVERIFIABLE	hypothesis has no sample.countries list	mixed	aligned	2015-2015	CHE		0					Material-footprint caps (Switzerland's 1-tonne society target, Welsh Wellbeing of Future Generations Act 2015) are technically implementable without triggering the collapse predicted by critics.
degrowth	13	keynes_1930_growth_targets_actually_met	PASS			supported	aligned	1930-2030			0			keynes	keynes	Pre-1945 Keynes-era claims that growth would ease 'economic problem' within a century (Keynes 1930 'Possibilities for Our Grandchildren') are, by 2030, technically met in OECD per-capita output terms, inviting the degrowth reframing question.
