position_id	hypothesis_id	shared_axes	framing_assessment	proposed_fix
austrian	unfunded_fiscal_expansion_above_zlb_bond_market_response	fiscal.spending_level,monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.transfer_expansion	aligned	Home turf — claim is exactly the Austrian/sound-money prediction; no fix needed.
austrian	chile_vs_venezuela_divergence_1999_2023	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness,monetary.central_bank_independence	aligned	Home turf — market-institutional path beating Chavismo is the Austrian prediction.
austrian	hyperinflation_requires_fiscal_dominance	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — Austrian agrees fiscal dominance drives hyperinflation; chicago and Austrian co-own this claim.
austrian	argentina_peronism_recurring_fiscal_inflation_cycle_1945_2023	monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.spending_level	aligned	Home turf — recurring fiscal-monetary inflation cycle is Austrian-canonical.
austrian	zimbabwe_hyperinflation_land_reform_output_collapse_2000_2009	monetary.monetary_expansion_direction,institutional.property_rights,monetary.central_bank_independence	aligned	Home turf — property-rights destruction + monetisation → collapse is Austrian-canonical.
austrian	resource_extractor_nationalisation_reduces_output	institutional.property_rights,regulatory.product_market_competition,fiscal.spending_level	aligned	Home turf — nationalisation reduces output is Austrian prediction.
austrian	abenomics_monetary_fiscal_coordination_effect	monetary.monetary_expansion_direction,fiscal.spending_level,monetary.central_bank_independence,fiscal.transfer_expansion	opposition_framed	Claim presupposes NK ZLB-trap framework; Austrians reject ZLB-trap framing entirely. Add parallel Austrian hypothesis: monetary-fiscal coordination distorts capital structure / sows future malinvestment.
austrian	zimbabwe_property_rights_output_link	monetary.monetary_expansion_direction,institutional.property_rights,monetary.central_bank_independence	aligned	Home turf — institutional-rights-first framing matches Austrian view.
austrian	china_deng_reform_growth_acceleration_1978	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness,fiscal.spending_level	aligned	Home turf — market liberalisation → growth.
austrian	fiscal_multipliers_zlb_higher_than_normal_regime	fiscal.spending_level,monetary.monetary_expansion_direction,fiscal.transfer_expansion	opposition_framed	Hypothesis is NK/PK in framing — accepting "ZLB makes multipliers larger" requires accepting NK framework Austrians reject. Add Austrian parallel: even at ZLB, fiscal expansion misallocates real resources and produces eventual cost-push inflation.
austrian	uk_truss_mini_budget_currency_sovereign_mechanism	fiscal.spending_level,monetary.central_bank_independence,fiscal.transfer_expansion	aligned	Anti-MMT framing — Austrians win on this regardless: market discipline reasserts itself.
austrian	soviet_union_central_planning_gdp_collapse_1989_1991	monetary.monetary_expansion_direction,regulatory.product_market_competition,fiscal.transfer_expansion	aligned	Home turf — central planning collapse is Austrian-Mises canonical (calculation problem).
chicago_monetarism	unfunded_fiscal_expansion_above_zlb_bond_market_response	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — bond-market discipline is monetarist canonical.
chicago_monetarism	hyperinflation_requires_fiscal_dominance	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — Sargent-Wallace canonical, this is the chicago thesis.
chicago_monetarism	argentina_peronism_recurring_fiscal_inflation_cycle_1945_2023	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — fiscal-monetary inflation cycle is monetarist canonical.
chicago_monetarism	qe_asset_inflation_vs_cpi_divergence_post_2008	monetary.monetary_expansion_direction,monetary.central_bank_independence	opposition_framed	Claim foregrounds the puzzle "QE didn't produce CPI inflation" — embarrassing for naive QTM monetarism. Add chicago parallel: velocity collapse / IOR re-anchored expectations, base-money expansion did not transmit to broad money.
chicago_monetarism	abenomics_monetary_fiscal_coordination_effect	monetary.monetary_expansion_direction,monetary.central_bank_independence	opposition_framed	NK-ZLB framing is not chicago. Add chicago parallel: BoJ failed to credibly commit to higher NGDP path, so expectations didn't anchor.
chicago_monetarism	zimbabwe_hyperinflation_land_reform_output_collapse_2000_2009	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — fiscal-dominance hyperinflation prediction.
chicago_monetarism	central_bank_independence_inflation_discipline	monetary.monetary_expansion_direction,regulatory.trade_openness,monetary.central_bank_independence	aligned	Home turf — Rogoff/Kydland-Prescott canonical chicago claim.
chicago_monetarism	fiat_expansion_erodes_currency_purchasing_power_long_run	monetary.monetary_expansion_direction,monetary.central_bank_independence,regulatory.trade_openness	needs_parallel_hypothesis	Hypothesis is Austrian/hard-money framed (purchasing power vs gold). Chicago monetarists are fiat-compatible — their claim is *price stability under rule-bound CB*, not "fiat erodes." Add chicago parallel: under credible inflation targeting, CPI inflation stays in band even with rising base money.
chicago_monetarism	price_controls_shortage_effect	monetary.monetary_expansion_direction,regulatory.product_market_competition	aligned	Home turf — Friedman canonical.
chicago_monetarism	argentina_fx_obligation_inflation_mechanism	monetary.central_bank_independence,monetary.monetary_expansion_direction	opposition_framed	Claim explicitly rejects "money printing failure" framing in favour of structural FX-obligation mechanism — that's a PK / structuralist frame, opposing chicago's pure monetary story. Add chicago parallel: even controlling for FX exposure, central-bank financing of deficits is the necessary condition.
chicago_monetarism	maduro_era_venezuelan_collapse_decomposition_2013_2023	monetary.monetary_expansion_direction,regulatory.product_market_competition	aligned	Home turf — monetisation + price controls → hyperinflation chain.
chicago_monetarism	monetary_finance_deficit_currency_collapse_chain	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — monetary-finance → currency collapse chain is canonical.
classical_liberal	chile_vs_venezuela_divergence_1999_2023	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness	aligned	Home turf — institutional-market path is the classical liberal prediction.
classical_liberal	estonia_market_reform_post_soviet_growth_1991_2007	regulatory.product_market_competition,institutional.rule_of_law,regulatory.trade_openness,institutional.property_rights	aligned	Home turf — radical market-liberalisation success.
classical_liberal	rule_of_law_institutional_growth	institutional.rule_of_law,institutional.property_rights,regulatory.trade_openness,regulatory.immigration_openness	aligned	Home turf — Acemoglu-Robinson canonical claim, classical-liberal core.
classical_liberal	india_1991_liberalisation_growth_acceleration	regulatory.trade_openness,institutional.property_rights,regulatory.sectoral_licensing,regulatory.financial_deregulation	aligned	Home turf — delicensing + liberalisation → growth.
classical_liberal	bukele_fdi_gdp_investment_climate_2019_2024	institutional.rule_of_law,institutional.property_rights,regulatory.trade_openness,regulatory.product_market_competition	aligned	Home turf for the property-rights / investment-climate channel; mild caveat that Bukele's authoritarian methods sit in tension with classical-liberal rule-of-law priors.
classical_liberal	el_salvador_bukele_gdp_crime_tradeoff_2019_2024	institutional.rule_of_law,institutional.property_rights,regulatory.trade_openness	aligned	Home turf for the security/crime → growth channel; same authoritarian-methods caveat as above.
classical_liberal	resource_extractor_nationalisation_reduces_output	institutional.property_rights,institutional.rule_of_law,regulatory.product_market_competition	aligned	Home turf — property-rights / nationalisation prediction.
classical_liberal	nz_rogernomics_productivity_effect	regulatory.trade_openness,regulatory.product_market_competition	aligned	Home turf — Rogernomics liberalisation success.
classical_liberal	china_deng_reform_growth_acceleration_1978	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness	aligned	Home turf — market reforms → growth.
classical_liberal	financial_deregulation_crisis_vulnerability	regulatory.financial_deregulation,regulatory.product_market_competition,regulatory.trade_openness	opposition_framed	Claim says deregulation → crises — that's the Minsky/PK frame, opposing classical liberal priors. Add classical-liberal parallel: deregulation episodes correlate with crises but the causal channel is moral-hazard-laden deposit insurance + bailout expectations, not deregulation per se.
classical_liberal	asian_convergence_vs_western_stagnation_2000_2023	regulatory.product_market_competition,institutional.rule_of_law,regulatory.sectoral_licensing	aligned	Home turf — market-reform → convergence.
classical_liberal	petro_reform_package_economic_trajectory_2022_present	institutional.rule_of_law,institutional.property_rights,regulatory.trade_openness	aligned	Home turf — leftist programme worsens trajectory.
ordoliberal	chile_vs_venezuela_divergence_1999_2023	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness,monetary.central_bank_independence	aligned	Home turf — rule-bound markets + CB independence beating populist discretion.
ordoliberal	unfunded_fiscal_expansion_above_zlb_bond_market_response	fiscal.spending_level,monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — Ordnungspolitik / fiscal-discipline canonical.
ordoliberal	china_deng_reform_growth_acceleration_1978	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness,fiscal.spending_level	aligned	Home turf — rule-bound market reforms succeed.
ordoliberal	resource_extractor_nationalisation_reduces_output	institutional.property_rights,regulatory.product_market_competition,fiscal.spending_level	aligned	Home turf — competition order requires private extractor with credible property rights.
ordoliberal	estonia_market_reform_post_soviet_growth_1991_2007	regulatory.product_market_competition,regulatory.trade_openness,institutional.property_rights	aligned	Home turf — currency board + radical liberalisation = ordoliberal-shaped programme.
ordoliberal	asian_convergence_vs_western_stagnation_2000_2023	regulatory.product_market_competition,fiscal.spending_level,regulatory.sectoral_licensing	aligned	Mostly home turf — though East Asian developmentalist content sits awkwardly with strict ordoliberalism. Aligned with caveat.
ordoliberal	india_1991_liberalisation_growth_acceleration	regulatory.trade_openness,institutional.property_rights,regulatory.sectoral_licensing	aligned	Home turf — delicensing + competition.
ordoliberal	nz_rogernomics_productivity_effect	regulatory.trade_openness,regulatory.product_market_competition,monetary.monetary_expansion_direction	aligned	Home turf — rule-based liberalisation success.
ordoliberal	price_controls_shortage_effect	monetary.monetary_expansion_direction,regulatory.product_market_competition,regulatory.sectoral_licensing	aligned	Home turf — price-mechanism canonical.
ordoliberal	fiscal_multipliers_zlb_higher_than_normal_regime	fiscal.spending_level,monetary.monetary_expansion_direction	opposition_framed	Claim is NK/PK demand-side framing; ordoliberal is fiscal-discipline-first regardless of cycle. Add ordoliberal parallel: even at ZLB, rule-violations erode credibility more than they raise output.
ordoliberal	zimbabwe_property_rights_output_link	monetary.monetary_expansion_direction,institutional.property_rights,monetary.central_bank_independence	aligned	Home turf — institutional / property-rights mechanism.
ordoliberal	price_controls_produce_shortages_and_quality_degradation	regulatory.product_market_competition,monetary.monetary_expansion_direction,regulatory.sectoral_licensing,regulatory.energy_supply_security	aligned	Home turf — price-mechanism canonical.
marxian	chile_vs_venezuela_divergence_1999_2023	institutional.property_rights,regulatory.product_market_competition,regulatory.trade_openness	opposition_framed	Hypothesis sets up market path as success vs Chavismo failure — that is exactly the comparison the school is meant to lose. Add marxian parallel: Chilean inequality / commodity-rentier dependence undercuts the headline GDP win; Venezuelan collapse driven by sanctions + oil shock not socialism per se.
marxian	zimbabwe_property_rights_output_link	monetary.monetary_expansion_direction,institutional.property_rights	opposition_framed	Claim asserts property-rights deterioration is the causally necessary channel — that's the institutionalist / market-liberal frame. Add marxian parallel: collapse driven by sanctions + monetary-fiscal mismanagement, with land reform's distributional gains for rural smallholders separable from output collapse.
marxian	zimbabwe_hyperinflation_land_reform_output_collapse_2000_2009	monetary.monetary_expansion_direction,institutional.property_rights	opposition_framed	Same as above — hypothesis is the institutionalist case against expropriation. Add marxian parallel framing land reform's distributional vs output channels separately.
marxian	soviet_union_central_planning_gdp_collapse_1989_1991	monetary.monetary_expansion_direction,institutional.rule_of_law,regulatory.product_market_competition	opposition_framed	Hypothesis is the canonical anti-planning case. Add marxian parallel: collapse is collapse of *bureaucratic* planning specifically; democratic-planning models untested.
marxian	resource_extractor_nationalisation_reduces_output	institutional.property_rights,institutional.rule_of_law,regulatory.product_market_competition	opposition_framed	Hypothesis frames nationalisation as inherently output-reducing. Add marxian parallel: distinguish technical-capacity-preserving nationalisations (Statoil, Saudi Aramco) from purge-driven ones; output-vs-rent-capture tradeoff.
marxian	rule_of_law_institutional_growth	institutional.rule_of_law,institutional.property_rights,regulatory.trade_openness	opposition_framed	WGI Rule-of-Law / Acemoglu framing treats class power as exogenous. Add marxian parallel: rule-of-law indices proxy for capital-friendly institutions; same growth correlates with worker-power decline.
marxian	uk_real_wage_stagnation_2008_present_decomposition	regulatory.labour_market_flexibility,monetary.monetary_expansion_direction,institutional.rule_of_law,regulatory.product_market_competition	needs_parallel_hypothesis	Decomposition framing (housing CPI, productivity, comp) is empiricist-neutral but omits the labour-share / capital-mobility channel marxians foreground. Add marxian parallel emphasising profit-share / bargaining-power channel.
marxian	price_controls_shortage_effect	monetary.monetary_expansion_direction,regulatory.product_market_competition	opposition_framed	Hypothesis is the canonical anti-price-control case. Add marxian parallel: in monopolistic / financialised supply chains, price ceilings transfer rent without proportional shortage cost.
marxian	petro_reform_package_economic_trajectory_2022_present	institutional.rule_of_law,institutional.property_rights,monetary.monetary_expansion_direction,regulatory.trade_openness	opposition_framed	Frames Petro's reforms as market-trajectory failure. Add marxian parallel emphasising distributional gains, capital-strike dynamics, peso-shock as capital flight not policy failure.
marxian	estonia_market_reform_post_soviet_growth_1991_2007	regulatory.product_market_competition,institutional.rule_of_law,regulatory.trade_openness,institutional.property_rights	opposition_framed	Hypothesis frames radical liberalisation as success. Add marxian parallel: Estonian "success" rests on EU transfers + labour emigration safety valve; distributional outcomes ignored.
marxian	financial_deregulation_crisis_vulnerability	regulatory.financial_deregulation,regulatory.product_market_competition,regulatory.trade_openness	aligned	Home turf — financialisation + deregulation → crises is marxian / Minskyan canonical.
marxian	bukele_fdi_gdp_investment_climate_2019_2024	institutional.rule_of_law,institutional.property_rights,regulatory.trade_openness,regulatory.product_market_competition	opposition_framed	Frames authoritarian-market alignment as success. Add marxian parallel: state-capital alignment + suppressed labour / civil rights is the authoritarian-capitalism critique.
post_keynesian	unfunded_fiscal_expansion_above_zlb_bond_market_response	fiscal.spending_level,monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.transfer_expansion	opposition_framed	"Unfunded fiscal expansion" framing is anti-MMT and quasi-monetarist; PK distinguishes ZLB / FX-vulnerable cases. Add PK parallel: above-ZLB AD-overheating in already-tight LM regime is what triggered Truss-style response, not "unfunded" per se.
post_keynesian	financial_deregulation_crisis_vulnerability	regulatory.financial_deregulation,regulatory.trade_openness	aligned	Home turf — Minsky-canonical.
post_keynesian	abenomics_monetary_fiscal_coordination_effect	monetary.monetary_expansion_direction,fiscal.spending_level,monetary.central_bank_independence,fiscal.transfer_expansion	aligned	Home turf — ZLB-trap framing is broadly PK-compatible (insufficient fiscal commitment).
post_keynesian	hyperinflation_requires_fiscal_dominance	monetary.monetary_expansion_direction,monetary.central_bank_independence	opposition_framed	Chicago/Sargent-Wallace framing; PK has cost-push / conflict / FX-pass-through theory of high inflation. Add PK parallel: hyperinflation cases all share collapse of real productive capacity and FX-denominated obligations, not fiscal dominance per se.
post_keynesian	fiscal_multipliers_zlb_higher_than_normal_regime	fiscal.spending_level,monetary.monetary_expansion_direction,fiscal.transfer_expansion	aligned	Home turf — PK-canonical.
post_keynesian	argentina_peronism_recurring_fiscal_inflation_cycle_1945_2023	monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.spending_level	opposition_framed	Chicago framing of Argentinian inflation. Add PK parallel: inflation driven by FX pass-through + balance-of-payments crises in non-sovereign-currency context, not fiscal-deficit channel alone.
post_keynesian	central_bank_independence_inflation_discipline	monetary.monetary_expansion_direction,regulatory.trade_openness,monetary.central_bank_independence,fiscal.spending_level	opposition_framed	CBI-as-discipline is chicago / Rogoff frame; PK skeptical. Add PK parallel: CBI correlates with inflation only because both are downstream of class-political-power shifts post-1980.
post_keynesian	qe_asset_inflation_vs_cpi_divergence_post_2008	monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.transfer_expansion	aligned	Home turf — PK predicted weak CPI transmission and asset-price inflation from QE.
post_keynesian	qe_zlb_effectiveness_term_premia	monetary.monetary_expansion_direction,fiscal.spending_level,monetary.central_bank_independence	aligned	Home turf — PK accepts portfolio-rebalancing / yield-curve channel mostly.
post_keynesian	zimbabwe_hyperinflation_land_reform_output_collapse_2000_2009	monetary.monetary_expansion_direction,monetary.central_bank_independence	opposition_framed	Chicago/institutionalist framing of Zim. Add PK parallel: real productive capacity collapse + FX-obligation channel, not fiscal-dominance-causes-hyperinflation.
post_keynesian	universal_transfer_programmes_labour_force_participation_decline	fiscal.transfer_expansion,fiscal.spending_level	opposition_framed	Hypothesis treats LFP decline as a chain of *unintended bad consequences* — that's a labour-supply / market-clearing frame PK rejects. Add PK parallel: in demand-constrained regimes, transfer-driven LFP decline is welfare-positive rather than welfare-cost.
post_keynesian	uk_truss_mini_budget_currency_sovereign_mechanism	fiscal.spending_level,monetary.central_bank_independence,fiscal.transfer_expansion	aligned	Home turf — Truss-as-institutional-rupture framing is PK-compatible.
mmt	unfunded_fiscal_expansion_above_zlb_bond_market_response	fiscal.spending_level,monetary.monetary_expansion_direction,monetary.central_bank_independence	opposition_framed	"Unfunded" is an MMT-rejected category. Add MMT parallel: Truss reaction was driven by LDI-pension-fund collateral mechanics and pegged-fx-credibility expectations, not "unfunded" budget-constraint rupture.
mmt	hyperinflation_requires_fiscal_dominance	monetary.monetary_expansion_direction,monetary.central_bank_independence	opposition_framed	Chicago framing. Add MMT parallel: hyperinflation requires real-resource collapse + FX-denominated obligations; fiscal dominance in sovereign-currency issuer with productive capacity does not produce it.
mmt	argentina_peronism_recurring_fiscal_inflation_cycle_1945_2023	monetary.monetary_expansion_direction,monetary.central_bank_independence,fiscal.spending_level	opposition_framed	Chicago framing. Add MMT parallel: Argentina's FX/dollarisation regime makes it non-sovereign in the relevant sense — peso-denominated obligations + dollar-denominated obligations create the inflation channel.
mmt	fiscal_multipliers_zlb_higher_than_normal_regime	fiscal.spending_level,monetary.monetary_expansion_direction	aligned	Home turf — MMT predicts large fiscal multipliers in slack regimes.
mmt	uk_truss_mini_budget_currency_sovereign_mechanism	fiscal.spending_level,monetary.central_bank_independence	aligned	Home turf — claim explicitly says "not MMT-predicted hard fiscal limit" — i.e. consistent with MMT (BoE-as-issuer restored order).
mmt	abenomics_monetary_fiscal_coordination_effect	monetary.monetary_expansion_direction,fiscal.spending_level,monetary.central_bank_independence	opposition_framed	NK ZLB-trap framing; MMT would say fiscal commitment was insufficient and BoJ inflation-targeting framing was the wrong instrument. Add MMT parallel: outcome is consistent with insufficient fiscal-volume + supply-side rigidity, not "ZLB trap" as such.
mmt	qe_zlb_effectiveness_term_premia	monetary.monetary_expansion_direction,fiscal.spending_level,monetary.central_bank_independence	opposition_framed	Claim says QE *stimulated investment* — MMT skeptical of monetary-channel-as-stimulus. Add MMT parallel: QE did asset-swap not real-stimulus; investment recovery driven by fiscal channels post-2009.
mmt	zimbabwe_hyperinflation_land_reform_output_collapse_2000_2009	monetary.monetary_expansion_direction,institutional.property_rights,monetary.central_bank_independence	opposition_framed	Same as PK above — hyperinflation framed as fiscal-dominance failure. Add MMT parallel emphasising agricultural-capacity collapse + FX exposure.
mmt	central_bank_independence_inflation_discipline	monetary.monetary_expansion_direction,regulatory.trade_openness,monetary.central_bank_independence,fiscal.spending_level	opposition_framed	MMT rejects CBI necessity. Add MMT parallel: CBI correlates with low inflation only via co-occurring fiscal-rule adoption; the operational necessity is consolidated balance-sheet view.
mmt	qe_asset_inflation_vs_cpi_divergence_post_2008	monetary.monetary_expansion_direction,monetary.central_bank_independence	aligned	Home turf — MMT consistent with weak CPI transmission of QE.
mmt	fiscal_multipliers_state_dependent	fiscal.spending_level,monetary.monetary_expansion_direction	aligned	Home turf.
mmt	zimbabwe_property_rights_output_link	monetary.monetary_expansion_direction,institutional.property_rights,monetary.central_bank_independence	opposition_framed	Institutionalist framing. Add MMT parallel as above.
degrowth	universal_transfer_programmes_labour_force_participation_decline	fiscal.transfer_expansion,fiscal.spending_level,institutional.rule_of_law	opposition_framed	Frames LFP decline as bad consequence — degrowth treats reduced wage-labour as desirable. Add degrowth parallel: transfer-driven LFP decline is consistent with post-work / time-affluence goals.
degrowth	japan_stagnation_wellbeing_outcomes	fiscal.transfer_expansion,institutional.rule_of_law,regulatory.product_market_competition,fiscal.spending_level	aligned	Home turf — canonical degrowth case study (zero growth, stable wellbeing).
degrowth	uk_attlee_reforms_output_health_outcomes	fiscal.transfer_expansion	aligned	Home turf — welfare expansion improving health without growth penalty.
degrowth	post_soviet_market_reform_life_expectancy	fiscal.transfer_expansion,regulatory.product_market_competition,institutional.rule_of_law	opposition_framed	Frames market reform as causally improving life expectancy vs slow reformers — degrowth would foreground throughput / ecological cost. Add degrowth parallel: ecological footprint of fast-reformer trajectory exceeds slow-reformer trajectory; wellbeing gain partly throughput-driven.
degrowth	costa_rica_wellbeing_throughput_efficiency	fiscal.transfer_expansion	aligned	Home turf — canonical degrowth claim.
degrowth	cuba_health_outcomes_vs_latam_peers	fiscal.transfer_expansion	aligned	Home turf-adjacent — supports low-throughput / high-wellbeing decoupling story.
degrowth	soviet_union_central_planning_gdp_collapse_1989_1991	institutional.rule_of_law,regulatory.product_market_competition,fiscal.transfer_expansion	needs_parallel_hypothesis	Hypothesis is GDP-collapse-as-disaster framing; degrowth's metric of value differs but degrowth would not endorse soviet model either. Add degrowth parallel: collapse measured by wellbeing / ecological metrics shows different shape than GDP-only metric.
degrowth	indigenous_managed_land_biodiversity_outcomes	regulatory.environmental_stringency,fiscal.spending_level	aligned	Home turf.
degrowth	welfare_architecture_comparative_effectiveness	fiscal.transfer_expansion	aligned	Universal-transfer architecture is degrowth-compatible (decommodified provision).
degrowth	asian_convergence_vs_western_stagnation_2000_2023	regulatory.product_market_competition,institutional.rule_of_law,fiscal.spending_level	opposition_framed	Frames GDP-convergence as success; degrowth rejects GDP as wellbeing metric and foregrounds throughput/emissions costs of Asian convergence. Add degrowth parallel.
degrowth	us_median_wage_stagnation_1973_2000_decomposition	regulatory.product_market_competition,institutional.rule_of_law,fiscal.spending_level,fiscal.transfer_expansion	unrelated_topic	Empiricist channel-decomposition not engaging degrowth priors. No fix needed — should not be inferred.
degrowth	germany_decline_2018_2025_regulatory_not_fiscal	regulatory.environmental_stringency,regulatory.product_market_competition	opposition_framed	Hypothesis attributes German decline to environmental stringency (Energiewende) — exactly what degrowth would defend. Add degrowth parallel: German "decline" measured by GDP/manufacturing-VA reframes as transition cost / sufficiency-policy success on emissions and resource-throughput axes.
eco_socialist	germany_decline_2018_2025_regulatory_not_fiscal	regulatory.energy_supply_security,regulatory.environmental_stringency,regulatory.product_market_competition,fiscal.sectoral_subsidy	opposition_framed	Frames environmental stringency + nuclear phase-out as causes of decline. Add eco-socialist parallel: counterfactual must include avoided-climate-damage and reduced-emissions value; German manufacturing decline also driven by export-model exhaustion + Russia-shock not Energiewende per se.
eco_socialist	german_energiewende_industrial_cost_trajectory	regulatory.energy_supply_security,regulatory.environmental_stringency,fiscal.sectoral_subsidy	opposition_framed	Anti-Energiewende framing. Add eco-socialist parallel: industrial-electricity-price comparison ignores externality pricing and renewables learning-curve; durable comparative advantage will favour transitioning economies.
eco_socialist	chile_vs_venezuela_divergence_1999_2023	institutional.property_rights,regulatory.product_market_competition	opposition_framed	Market-liberal framing. Add eco-socialist parallel emphasising Chilean ecological-extractive base and Venezuelan sanctions/oil-shock.
eco_socialist	nuclear_phaseout_energy_cost_industry_exit	regulatory.energy_supply_security,institutional.property_rights,fiscal.sectoral_subsidy	opposition_framed	Frames phase-out as causing harm. Add eco-socialist parallel: phaseout's avoided-accident and waste-stewardship value, plus accelerated renewables deployment.
eco_socialist	indigenous_managed_land_biodiversity_outcomes	regulatory.environmental_stringency,institutional.property_rights	aligned	Home turf — indigenous stewardship as eco-socialist canonical.
eco_socialist	german_manufacturing_va_decline_2017_2024	regulatory.energy_supply_security,regulatory.environmental_stringency,fiscal.sectoral_subsidy	opposition_framed	Same anti-transition frame as germany_decline above. Add eco-socialist parallel.
eco_socialist	north_south_korea_development_divergence_1953_present	institutional.property_rights,regulatory.product_market_competition,fiscal.sectoral_subsidy	opposition_framed	Market-vs-planning framing; eco-socialism distinct from DPRK-style planning but the comparison is set up to foreclose all socialist variants. Add eco-socialist parallel: democratic-eco-planning vs autarkic-Stalinist-planning is the relevant comparison.
eco_socialist	resource_extractor_nationalisation_reduces_output	institutional.property_rights,regulatory.product_market_competition	opposition_framed	Hypothesis frames nationalisation as inherently output-reducing — eco-socialism's core lever. Add eco-socialist parallel: nationalisation with technical-capacity preservation and resource-rent capture (Statoil, Saudi Aramco) outperforms private-extractor counterfactual on welfare metrics.
eco_socialist	us_eu_gdp_per_capita_divergence_policy_causes	regulatory.energy_supply_security,regulatory.environmental_stringency	opposition_framed	Frames US deregulation/competition as outperforming EU. Add eco-socialist parallel: per-capita emissions, work-hours, health outcomes reverse the ranking.
eco_socialist	industrial_policy_developmentalist_states_growth	fiscal.sectoral_subsidy,institutional.property_rights	aligned	Home turf-adjacent — industrial policy is the eco-socialist green-transition lever (IRA, EU CBAM-style).
eco_socialist	green_transition_cost_trajectory_electricity_prices	regulatory.energy_supply_security,regulatory.environmental_stringency,fiscal.sectoral_subsidy,regulatory.sectoral_licensing	opposition_framed	Frames aggressive transition + gas-indexed market as cost-creating. Add eco-socialist parallel: gas-indexed wholesale design is the policy failure — eco-socialist programme is renewables + price-formation reform together, not renewables alone.
eco_socialist	west_east_germany_economic_system_divergence_1950_1989	institutional.property_rights,regulatory.product_market_competition,regulatory.energy_supply_security	opposition_framed	GDR-vs-FRG comparison forecloses non-Stalinist socialist models. Add eco-socialist parallel: relevant comparison is democratic-socialist Nordic model vs FRG, not GDR vs FRG.
