priority,country,country_iso3,movement_id_if_available,current_alignment_value,current_active_years,proposed_subtype,confidence,reason,recommended_episode_split,enter_clean_comparator_model
1,"Kuwait","KWT","kuwait_oil_welfare_state_1961_present","partial 0.5; mean 0.500","1961-2026","mixed","High","Largest treated window and explicit oil welfare/SWF compact but weak industrial policy content.","Split 1961-1970 fallback/pre-WDI; 1971-1990 oil welfare buildout; 1991-2020 post-invasion rentier welfare; 2021-2026 fallback.","No"
2,"United Arab Emirates","ARE","uae_emirate_state_capitalism_1971_present; uae_zayed_consolidation_1976_1990; uae_zayed_oil_price_collapse_response_1985_1995; uae_zayed_late_era_1995_2004; uae_khalifa_early_era_2004_2014; uae_khalifa_global_financial_crisis_2008_2010; uae_mbz_crown_prince_era_2014_2022; uae_mbz_presidency_2022_present","mostly aligned 1.0; umbrella mean 1.000","1971-2026","resource_developmentalist","Medium-high","Sovereign-directed diversification and free-zone state capitalism are real but should not be pooled with socialist oil states.","Split 1971-1975 federation start; 1976-1990 Zayed consolidation; 1985-1995 oil-price response; 1995-2004 free-zone expansion; 2004-2014 Khalifa/Dubai crisis; 2014-2022 MBZ; 2022-2026 fallback.","No; treated arm"
3,"Papua New Guinea","PNG","papua_new_guinea_independence_resource_state_1975_present","partial 0.5; mean 0.500","1975-2026","mixed","High","Resource dependence is explicit but fragmented politics and customary land constraints make the scalar misleading.","Split 1975-1988 state formation; 1989-2002 Bougainville/conflict and mineral disruption; 2003-2014 LNG/mining project state; 2015-2020 commodity downturn; 2021-2026 fallback.","No"
4,"Iran","IRN","iran_shah_pahlavi_late_era_1976_1979; iran_khomeini_revolutionary_consolidation_1979_1989; iran_revolution_islamic_economy_1979_present; iran_rafsanjani_pragmatist_1989_1997; iran_khatami_reformist_1997_2005; iran_ahmadinejad_principlist_2005_2013; iran_rouhani_moderate_2013_2021; iran_raisi_conservative_2021_2024; iran_pezeshkian_reformist_2024_present","mixed aligned/partial; umbrella partial 0.5 with mean 1.000","1976-2026","mixed","High","Oil statism is real but revolution war sanctions privatisation reformist phases and principlist redistribution are separate mechanisms.","Split 1976-1979 late Pahlavi oil modernisation; 1979-1989 revolution/war nationalisation; 1989-1997 reconstruction; 1997-2005 reform liberalisation; 2005-2013 oil redistribution/sanctions; 2013-2021 JCPOA phase; 2021-2026 resistance/fallback.","No"
5,"Nigeria","NGA","nigeria_obasanjo_military_first_1976_1979; nigeria_babangida_military_1985_1993; nigeria_abacha_military_1993_1998; nigeria_obasanjo_pdp_civilian_1999_2007; nigeria_yaradua_pdp_2007_2010; nigeria_jonathan_pdp_2010_2015; nigeria_buhari_apc_civilian_2015_2023","mostly partial 0.5; values 0.500-1.000","1976-1978; 1986-2023","mixed","High","Oil-rent politics are central but episodes alternate among military dirigisme SAP liberalisation kleptocracy civilian reform oil-boom fiscal expansion and Buhari nationalism.","Split 1976-1979 military transition; 1986-1993 SAP; 1993-1998 Abacha dirigisme/predation; 1999-2007 civilian reform; 2007-2015 oil-boom civilian phases; 2017-2023 Buhari nationalism.","No"
6,"Venezuela","VEN","venezuela_perez_first_term_1974_1979; venezuela_herrera_copei_1979_1984; venezuela_chavismo_bolivarian_1999_present","Perez aligned 1.0; Herrera partial 0.5; Chavismo aligned 1.0","1974-1984; 1999-2026","resource_nationalisation_shock plus resource_statist_socialist","High","Perez is an oil-boom nationalisation/borrowing shock Herrera is debt unwind and Chavismo is a separate 21st-century socialist oil-statist regime.","Split 1974-1979 Perez shock; 1979-1984 debt/oil reversal; 1999-2002 early Chavismo; 2003-2012 PDVSA/FX-control consolidation; 2013-2020 Maduro collapse; 2021-2026 fallback.","No"
7,"Saudi Arabia","SAU","saudi_khalid_1975_1982; saudi_abdullah_de_facto_crown_prince_1995_2005; saudi_abdullah_late_era_2005_2015; saudi_salman_transition_2015_2017; saudi_vision_2030_2016_present; saudi_mbs_cp_era_2017_present","mostly aligned 1.0; Abdullah late partial 0.5","1975-1981; 1996-2026","resource_developmentalist","Medium-high","Oil-funded public investment and diversification programmes are real but welfare monarchy and Vision 2030 should be distinct episodes.","Split 1975-1981 high-rent state-capitalist buildout; 1996-2005 cautious liberalisation; 2005-2015 welfare/investment expansion; 2015-2017 transition; 2016-2026 Vision 2030; 2017-2026 MBS consolidation/fallback.","No; treated arm"
8,"Indonesia","IDN","indonesia_suharto_new_order_1965_1998; indonesia_suharto_oil_boom_1976_1985; indonesia_suharto_deregulation_paket_1988_1996; indonesia_megawati_pdip_2001_2004; indonesia_jokowi_pdip_2014_2024; indonesia_prabowo_2024_present","New Order aligned 1.0; Megawati partial 0.5; modern rows aligned 1.0","1966-1969; 1973-1998; 2001-2004; 2021-2026","resource_developmentalist","High","Strongest core resource-developmentalist case especially oil-boom state investment and post-oil technocratic export diversification.","Split 1966-1972 consolidation/pre-oil fallback; 1973-1985 oil-boom allocation; 1986-1998 post-oil deregulation and crisis; 2001-2004 decentralised stabilisation; 2014-2024 downstreaming; 2024-2026 fallback.","No; treated arm"
9,"Malaysia","MYS","malaysia_hussein_onn_1976_1981; malaysia_mahathir_first_term_1981_1988; malaysia_mahathir_bumiputera_development_1981_2003; malaysia_mahathir_wawasan_2020_era_1991_1998; malaysia_abdullah_badawi_umno_2003_2009; malaysia_muhyiddin_pn_2020_2021; malaysia_ismail_sabri_umno_2021_2022; malaysia_anwar_unity_2022_present","mostly aligned 1.0; recent rows partial 0.5","1976-2009; 2021-2026","resource_developmentalist","Medium","State-led industrialisation is clear but many resource years are WDI-threshold driven and need confirmation that petroleum/commodity rents funded policy.","Split 1976-1981 NEP consolidation; 1981-1990 Mahathir heavy industry; 1991-1998 Wawasan/export manufacturing and crisis; 1999-2009 post-crisis continuation; 2020-2026 pandemic/fallback.","No; treated arm after resource-channel review"
10,"Syria","SYR","syria_baath_assad_statist_regime_1963_2000","partial 0.5; mean 0.500","1963-1969; 1974-1985; 1988-1997; 2000","resource_statist_socialist / mixed","Medium","Ba'athist statism is real but resource linkage is partly WDI-threshold driven and the window is a broad regime umbrella.","Split 1963-1969 fallback/pre-WDI statism; 1974-1985 oil-relevant public-sector phase; 1988-1997 oil/fiscal stress phase; 2000 singleton review.","No unless oil-relevant statist years are isolated as treated arm"
11,"Zaire/DRC","COD","zaire_mobutu_mpr_1965_1997","partial 0.5; mean 0.500","1965-1997","mixed","High","Mineral-rent predation and kleptocracy dominate and are not developmentalist enough for the main treatment.","Split 1965-1973 consolidation/resource nationalism; 1974-1982 copper crash and debt stress; 1983-1990 adjustment/predation; 1991-1997 collapse/conflict.","No"
12,"China","CHN","china_hua_guofeng_transition_1976_1978; deng_xiaoping_reforms_1978; china_jiang_era_1989_2002; china_tiananmen_austerity_1989_1992; china_hu_era_2002_2012; china_wto_accession_2001; china_xi_era_2012_present","mostly aligned 1.0; Hua partial 0.5","1976-1992; 2005-2008; 2010-2011; 2022-2026","mixed","High","WDI rent threshold is mechanically picking up a nonresource developmental state.","Remove from main resource treatment unless a specific resource-funding episode is hand-coded; otherwise keep separate nonresource developmentalist sensitivity.","No"
13,"Ethiopia","ETH","ethiopia_eprdf_developmental_state_1991_2018; ethiopia_meles_late_era_2005_2012; ethiopia_hailemariam_eprdf_2012_2018; ethiopia_abiy_prosperity_2018_present","EPRDF aligned 1.0; Abiy partial 0.5","1991-2026","mixed","High","Canonical developmental state but resource link is WDI-threshold driven rather than clearly resource-funded industrial policy.","Split 1991-2004 EPRDF state-building; 2005-2012 Meles late era; 2012-2018 Hailemariam; 2018-2026 Abiy conflict/reform/fallback.","No"
14,"Rwanda","RWA","rwanda_post_genocide_reconstruction_1994_2020; rwanda_kagame_fourth_term_2024_present","aligned 1.0","1994-2017; 2024-2026","mixed","High","Post-conflict developmental state is sensitive to the hypothesis exclusion rule and the resource channel is weak.","Split 1994-2003 reconstruction; 2004-2017 developmental-authoritarian growth; 2024-2026 fallback.","No"
15,"Vietnam","VNM","vietnam_linh_doi_moi_implementation_1986_1991; vietnam_doi_moi_1986; vietnam_do_muoi_gs_era_1991_1997; vietnam_khai_manh_doi_moi_deepening_1997_2006; vietnam_dung_pm_2006_2016; vietnam_trong_era_2011_2024; vietnam_to_lam_2024_present","aligned 1.0","1989-1997; 1999-2014; 2022-2026","market_open_resource_peer / mixed","Medium","Doi Moi is a market-opening developmental comparator unless oil/gas financing is explicitly shown.","Split 1989-1991 early Doi Moi; 1991-1997 reform consolidation; 1999-2006 deepening; 2007-2014 WTO/private-sector phase; 2022-2026 fallback.","Conditional yes"
16,"Norway","NOR","norway_nordli_ap_1976_1981; norway_willoch_conservative_1981_1986; norway_bondevik_jagland_transition_1996_2000; norway_bondevik_ii_centre_right_2001_2005; case-map candidate norway_handlingsregel_2001","mixed aligned/partial; values 0.500-1.000","1979-1985; 1997; 1999-2005","rule_bound_resource_manager","High","Canonical resource counterexample currently miscaptured as positive developmentalism.","Split 1979-1985 early oil/macroeconomic adjustment; 1990-2000 fund buildout if coded; 2001 onward handlingsregel fiscal-rule episode.","Yes"
17,"Botswana","BWA","case-map candidate botswana_sacu_diamond_institutional_success_1966_present; no current positive inventory row","residual zero/uncoded","none in positive inventory","rule_bound_resource_manager","High","Diamond success with institutional constraints is a canonical comparator and must not remain an anonymous zero.","Add explicit 1966-2020 diamond institutional-success comparator with possible post-1994 and post-2008 subperiods.","Yes with sample-scope flag"
18,"Chile","CHL","case-map candidate chile_bachelet_i_concertacion_2006_2010; other Concertacion/copper-rule rows to confirm","residual zero/uncoded","none in positive inventory","rule_bound_resource_manager","Medium-high","Copper fiscal-rule and sovereign wealth institutions make Chile a key rule-bound comparator.","Date copper stabilisation/fiscal-rule episodes especially 2001 structural balance rule and 2006 copper funds; keep ordinary administrations separate.","Yes"
19,"Australia","AUS","australia_howard_coalition_1996_2007; australia_rudd_alp_2007_2010; australia_abbott_lnp_2013_2015","aligned/partial; values 0.667-1.000","2006-2008; 2010; 2013","market_open_resource_peer plus resource_nationalisation_shock","Medium-high","High-income market-open resource peer; Rudd/Abbott rows are mining-tax politics or repeal rather than developmentalist treatment.","Code 1996-2007 and ordinary years as market-open peer; isolate 2010 mining tax proposal and 2013 repeal as shock/policy episode.","Conditional yes; exclude shock years"
20,"Canada","CAN","canada_trudeau_pet_liberal_1980_1984","partial 0.5; mean 0.500","1980-1981","resource_nationalisation_shock","High","National Energy Program is a dated intervention in a high-income resource federation.","Code 1980-1984 NEP shock separately; classify non-NEP resource-rich Canadian years as market-open peer if added.","Conditional yes outside NEP"
21,"Colombia","COL","case-map candidates colombia_uribe_santos_duque_market_continuity_2002_2022; colombia_uribe_security_market_reforms_2002_2010; colombia_santos_i_2010_2014","residual zero/uncoded","none in positive inventory","market_open_resource_peer","Medium-high","Oil/mining exposure with market continuity makes Colombia a useful Latin American comparator.","Add 2002-2010 security/market reform; 2010-2014 Santos commodity management; 2014-2022 continuity/peace-fiscal-rule review.","Yes"
22,"Peru","PER","peru_garcia_apra_first_1985_1990; peru_humala_gana_peru_2011_2016; case-map candidates peru_toledo_pp_2001_2006; peru_ppk_2016_2018","Garcia aligned 1.0; Humala partial 0.5","1985; 1987-1990; 2011-2014","market_open_resource_peer / mixed","Medium","Mining economy contains both open comparator episodes and heterodox/populist or royalty episodes currently captured as developmentalism.","Split Garcia 1985-1990 heterodox crisis as mixed; 2001-2006 Toledo open mining; 2011-2016 Humala royalty/moderate-left; 2016-2018 PPK open comparator.","Conditional yes for open mining episodes"
23,"Qatar","QAT","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","High","Obvious hydrocarbon rentier/diversification peer absent from positive inventory.","Add gas-rent state and diversification/SWF episodes before modeling.","No until coded"
24,"Oman","OMN","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","High","Obvious Gulf oil peer absent from positive inventory.","Add oil-rent state-building and diversification episodes including post-2020 transition if needed.","No until coded"
25,"Bahrain","BHR","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","High","Gulf resource/services peer absent from positive inventory.","Add oil-rent financial-services diversification and fiscal-support episodes.","No until coded"
26,"Libya","LBY","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","High","Major oil-statist and conflict case absent from positive inventory.","Add Qaddafi oil-statist phases and post-2011 conflict/oil-disruption phases; likely split between resource_statist_socialist and mixed.","No until coded"
27,"Trinidad and Tobago","TTO","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","Medium-high","Hydrocarbon resource peer absent from positive inventory and likely useful as small-state comparator after coding.","Add gas/oil industrialisation and market-open energy-exporter episodes.","No until coded"
28,"Gabon","GAB","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","Medium-high","Oil/mineral rentier state absent from positive inventory.","Add oil-rent regime diversification attempts and institutional/predation flags.","No until coded"
29,"Cameroon","CMR","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","Medium","Oil/agricultural/mineral exposure varies by period and current residual status is unsafe.","Add oil-relevant Biya/Ahidjo resource episodes or classify as market-open/mixed after review.","No until coded"
30,"Zambia","ZMB","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","Medium","Copper dependence is central but current inventory has no explicit resource-developmentalist or comparator episode.","Add copper nationalisation adjustment/privatisation and commodity-boom management phases; subtype may split shock mixed and market-open peer.","No until coded"
31,"Mongolia","MNG","no confirmed movement id in current inventory","residual zero/uncoded","none in positive inventory","uncoded","Medium","Mining boom peer absent from positive inventory.","Add 2000s-2010s mining boom Oyu Tolgoi governance and fiscal-rule episodes; likely market-open/mixed after review.","No until coded"
32,"Ghana","GHA","ghana_mahama_ndc_second_2025_present; case-map notes Ghana ERP/resource episodes need coding","partial 0.5; mean 0.500 but outside target window","2025-2026","uncoded","Medium","Current positive row is post-2020 and outside the hypothesis period; 1970-2020 resource/ERP episodes remain uncoded.","Add gold/oil resource episodes ERP/structural-adjustment comparator periods and post-2010 oil phase before modeling.","No until coded"
