movement_id,country_iso3,movement_years,treated_years,treated_obs,developmentalism_alignments,alignment_score,treatment_value_mean,treatment_value_max,rent_mean_treated_years,rent_max_treated_years,resource_country_fallback_years,doctrine_clue,policies_count,outcome_hypotheses_count,confidence_risk_notes,movement_file
kenya_kibaki_narc_first_2002_2007,KEN,2002-2007,2003,1,developmentalism:aligned,1,1.000,1.000,5.09,5.09,0,"Economic school: liberal-market growth agenda post-Moi KANU dismantling, free primary education, anti-corruption rhetoric, East African Commun...",5,0,mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/kenya_kibaki_narc_first_2002_2007.yaml
kenya_kibaki_vision_2030_2002_2013,KEN,2002-2013,2003,1,developmentalism:partially_aligned,0.5,1.000,1.000,5.09,5.09,0,"The 2002 NARC victory ended 24 years of KANU rule and initiated the Economic Recovery Strategy for Wealth and Employment Creation (2003-2007),...",5,1,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/kenya_kibaki_vision_2030_2002_2013.yaml
kuwait_oil_welfare_state_1961_present,KWT,1961-2026,1961-2026,66,developmentalism:partially_aligned,0.5,0.500,0.500,43.46,71.17,16,"Kuwait's post-independence governing regime converted oil rents into a citizen welfare state, public employment compact, and large sovereign w...",3,0,partial developmentalism alignment; 16/66 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/kuwait_oil_welfare_state_1961_present.yaml
lao_lao_pdr_socialist_planning_1975,LAO,1975-1986,1975-1983,9,developmentalism:partially_aligned,0.5,0.500,0.500,,,9,"After the 1975 proclamation of the Lao People's Democratic Republic, the LPRP sought to consolidate one-party socialist rule, nationalise or c...",3,0,partial developmentalism alignment; 9/9 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/lao_lao_pdr_socialist_planning_1975.yaml
morocco_hassan_ii_monarchy_mixed_economy_1956_1999,MAR,1956-1999,1974-1975;1977,3,developmentalism:partially_aligned,0.5,0.500,0.500,8.53,10.46,0,"Morocco's post-independence governing model kept the monarchy as the central arbiter over administration, land, investment, and political comp...",3,0,partial developmentalism alignment; long umbrella window; resource link mainly WDI-threshold driven,movements/morocco_hassan_ii_monarchy_mixed_economy_1956_1999.yaml
mexico_lopez_portillo_pri_1976_1982,MEX,1976-1982,1979-1981,3,developmentalism:aligned,1,1.000,1.000,9.44,10.69,0,Statist-developmentalist PRI programme dominated by the Cantarell oil discovery and its subsequent fiscal mismanagement. Four phases: (1) 1976...,5,2,resource doctrine explicit,movements/mexico_lopez_portillo_pri_1976_1982.yaml
mmr_burmese_way_to_socialism_1962,MMR,1962-1988,1962-1988,27,developmentalism:partially_aligned,0.5,0.500,0.500,29.14,69.23,8,"The Revolutionary Council and later the Burma Socialist Programme Party sought to build a self-reliant socialist state after the 1962 coup, co...",3,0,partial developmentalism alignment; 8/27 treated years use resource-country fallback; long umbrella window; resource link mainly WDI-threshold driven,movements/mmr_burmese_way_to_socialism_1962.yaml
malaysia_hussein_onn_1976_1981,MYS,1976-1981,1976-1981,6,developmentalism:aligned,1,1.000,1.000,31.63,38.58,0,Hussein Onn UMNO-led Barisan Nasional caretaker consolidation of the New Economic Policy (NEP 1971-1990) agenda after Tun Razak's death in Jan...,5,0,resource doctrine explicit,movements/malaysia_hussein_onn_1976_1981.yaml
malaysia_mahathir_first_term_1981_1988,MYS,1981-1988,1981-1988,8,developmentalism:aligned,1,1.000,1.000,25.99,31.20,0,Mahathir Look East Policy + heavy-industrial drive first phase of the long 1981-2003 era. Economic school: ethno-developmentalist state-led he...,6,0,resource doctrine explicit,movements/malaysia_mahathir_first_term_1981_1988.yaml
malaysia_mahathir_bumiputera_development_1981_2003,MYS,1981-2003,1981-2003,23,developmentalism:aligned,1,1.000,1.000,19.14,31.20,0,Heterodox East-Asian developmentalism layered on top of the 1971 New Economic Policy (NEP) affirmative-action framework favouring the Malay-ma...,5,2,resource link mainly WDI-threshold driven,movements/malaysia_mahathir_bumiputera_development_1981_2003.yaml
malaysia_mahathir_wawasan_2020_era_1991_1998,MYS,1991-1998,1991-1998,8,developmentalism:aligned,1,1.000,1.000,15.22,21.27,0,"Mahathir Wawasan 2020 (Vision 2020) doctrine announced 28 Feb 1991 fully-developed-nation status by 2020 via manufacturing-export-led growth,...",5,0,resource link mainly WDI-threshold driven,movements/malaysia_mahathir_wawasan_2020_era_1991_1998.yaml
malaysia_abdullah_badawi_umno_2003_2009,MYS,2003-2009,2003-2009,7,developmentalism:aligned,1,1.000,1.000,12.45,13.88,0,UMNO-led BN post-Mahathir reformist continuity with 'Islam Hadhari' (civilisational Islam) doctrine and anti-corruption rhetoric Abdullah posi...,6,0,resource link mainly WDI-threshold driven,movements/malaysia_abdullah_badawi_umno_2003_2009.yaml
malaysia_muhyiddin_pn_2020_2021,MYS,2020-2021,2021,1,developmentalism:partially_aligned,0.5,1.000,1.000,6.92,6.92,0,Perikatan Nasional (PN) Bersatu + PAS + UMNO pandemic-response administration formed 1 Mar 2020 after the 'Sheraton Move' collapsed the Pakata...,5,3,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/malaysia_muhyiddin_pn_2020_2021.yaml
malaysia_ismail_sabri_umno_2021_2022,MYS,2021-2022,2021-2022,2,developmentalism:partially_aligned,0.5,1.000,1.000,6.92,6.92,1,UMNO-restored technocratic COVID-exit caretaker administration formed after Muhyiddin Yassin lost his parliamentary majority and resigned 16 A...,4,3,partial developmentalism alignment; 1/2 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/malaysia_ismail_sabri_umno_2021_2022.yaml
malaysia_anwar_unity_2022_present,MYS,2022-2026,2022-2026,5,developmentalism:partially_aligned,0.5,0.600,1.000,,,5,Reformist-multiracial Pakatan Harapan (PH) economic policy reconciled with Malay-Muslim establishment UMNO-BN via a hung-parliament-forced uni...,6,3,partial developmentalism alignment; 5/5 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/malaysia_anwar_unity_2022_present.yaml
nigeria_obasanjo_military_first_1976_1979,NGA,1976-1979,1976-1978,3,developmentalism:partially_aligned,0.5,0.500,0.500,19.87,22.81,0,Obasanjo's first (military) administration succeeded the assassinated Murtala Mohammed in February 1976 and delivered (a) the Second Nigerian...,4,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/nigeria_obasanjo_military_first_1976_1979.yaml
nigeria_babangida_military_1985_1993,NGA,1985-1993,1986-1993,8,developmentalism:partially_aligned,0.5,0.562,1.000,18.57,34.27,0,"Economic school: SAP-imposed neoliberalism. Babangida rejected an IMF loan in 1986 after a 'national debate', then implemented a World-Bank-de...",4,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/nigeria_babangida_military_1985_1993.yaml
nigeria_abacha_military_1993_1998,NGA,1993-1998,1993-1998,6,developmentalism:partially_aligned,0.5,0.583,1.000,21.91,34.27,0,Economic school: kleptocratic military dirigisme partial reversal of Babangida-era SAP toward exchange-rate re-regulation and fiscal-populist...,4,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/nigeria_abacha_military_1993_1998.yaml
nigeria_obasanjo_pdp_civilian_1999_2007,NGA,1999-2007,1999-2007,9,developmentalism:partially_aligned,0.5,0.556,1.000,17.10,24.94,0,Economic school: liberal-market democratic return with IMF/World-Bank- aligned reform agenda NEEDS (National Economic Empowerment and Developm...,5,0,partial developmentalism alignment; mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/nigeria_obasanjo_pdp_civilian_1999_2007.yaml
nigeria_yaradua_pdp_2007_2010,NGA,2007-2010,2007-2010,4,developmentalism:aligned,1,1.000,1.000,14.48,17.59,0,"PDP institutional-reform civilian programme advancing the 7-Point Agenda and Niger Delta amnesty, interrupted by Yar'Adua's incapacitation fro...",4,2,resource doctrine explicit,movements/nigeria_yaradua_pdp_2007_2010.yaml
nigeria_jonathan_pdp_2010_2015,NGA,2010-2015,2010-2014,5,developmentalism:partially_aligned,0.5,0.600,1.000,13.38,17.55,0,"Jonathan's PDP era was a centrist pro-business oil-boom fiscal expansion riding Brent at $100+ for most of the term, collapsing to ~$50 only i...",7,0,partial developmentalism alignment; resource doctrine explicit,movements/nigeria_jonathan_pdp_2010_2015.yaml
nigeria_buhari_apc_civilian_2015_2023,NGA,2015-2023,2017-2023,7,developmentalism:partially_aligned,0.5,0.500,0.500,7.92,9.80,2,Buhari's civilian second-coming was a heterodox nationalist-statist programme distinct from both his 1984 military austerity and his APC marke...,8,0,partial developmentalism alignment; 2/7 treated years use resource-country fallback; resource doctrine explicit,movements/nigeria_buhari_apc_civilian_2015_2023.yaml
nicaragua_sandinista_1979_1990,NIC,1979-1990,1979-1980;1982;1990,4,developmentalism:partially_aligned,0.5,0.500,0.500,5.84,6.72,0,Revolutionary mixed-economy programme following the July 1979 overthrow of Somoza. Core content: expropriation of Somoza-family holdings and c...,6,2,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/nicaragua_sandinista_1979_1990.yaml
nicaragua_ortega_fsln_consolidation_2007_present,NIC,2007-2026,2011,1,developmentalism:partially_aligned,0.5,0.500,0.500,5.12,5.12,0,Ortega's return to power in 2007 evolved from heterodox-left populist into entrenched authoritarian personalism after the 2018 protest crackdo...,5,0,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/nicaragua_ortega_fsln_consolidation_2007_present.yaml
norway_nordli_ap_1976_1981,NOR,1976-1981,1979-1981,3,developmentalism:aligned,1,1.000,1.000,6.45,7.65,0,"Norwegian Labour Party continuation under Nordli succeeding Trygve Bratteli, governing through the post-oil-shock adjustment and first North S...",3,0,mechanical/derived alignment; resource doctrine explicit,movements/norway_nordli_ap_1976_1981.yaml
norway_willoch_conservative_1981_1986,NOR,1981-1986,1981;1983-1985,4,developmentalism:partially_aligned,0.5,0.625,1.000,6.50,7.10,0,"First Norwegian Conservative-led government in 53 years, riding the early-1980s 'hyreblgen' (right-wave) alongside Thatcher and Reagan. School...",3,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/norway_willoch_conservative_1981_1986.yaml
norway_bondevik_jagland_transition_1996_2000,NOR,1996-2000,1997;1999-2000,3,developmentalism:aligned,1,1.000,1.000,8.12,12.29,0,Transitional period covering the end of the long AP hegemony and the first centre-coalition experiment. Economic school: Norwegian social- dem...,3,0,mechanical/derived alignment; resource doctrine explicit,movements/norway_bondevik_jagland_transition_1996_2000.yaml
norway_bondevik_ii_centre_right_2001_2005,NOR,2001-2005,2001-2005,5,developmentalism:partially_aligned,0.5,0.500,0.500,9.47,10.49,0,Centre-right reform coalition under Bondevik (KrF) with Hoeyre as the economic driver. Economic school: Norwegian market-liberal/ordoliberal a...,3,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/norway_bondevik_ii_centre_right_2001_2005.yaml
pakistan_zia_ul_haq_military_islamisation_1977_1988,PAK,1977-1988,1977;1979,2,developmentalism:aligned,1,1.000,1.000,7.45,9.33,0,"Zia Islamisation + denationalisation military doctrine. Economic school: rightward turn from Bhutto socialism partial denationalisation, agric...",8,0,resource link mainly WDI-threshold driven,movements/pakistan_zia_ul_haq_military_islamisation_1977_1988.yaml
peru_garcia_apra_first_1985_1990,PER,1985-1990,1985;1987-1990,5,developmentalism:aligned,1,1.000,1.000,11.14,15.47,0,Heterodox-populist APRA programme first APRA presidency 60 years after party founding. Four doctrinal pillars: (1) debt-service limitation Gar...,5,2,resource link mainly WDI-threshold driven,movements/peru_garcia_apra_first_1985_1990.yaml
peru_humala_gana_peru_2011_2016,PER,2011-2016,2011-2014,4,developmentalism:partially_aligned,0.5,0.500,0.500,9.02,12.77,0,Humala governed as a moderate-left pragmatist despite 2006 radical- Chavista origins what Peruvians called the 'Lula route' vs the 'Chavez rou...,5,2,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/peru_humala_gana_peru_2011_2016.yaml
papua_new_guinea_independence_resource_state_1975_present,PNG,1975-2026,1975-2026,52,developmentalism:partially_aligned,0.5,0.500,0.500,20.52,31.20,5,"Post-independence parliamentary resource-state model in which a fragmented party system, provincial autonomy, customary land tenure, and large...",3,0,partial developmentalism alignment; 5/52 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/papua_new_guinea_independence_resource_state_1975_present.yaml
russia_yeltsin_first_term_1991_1996,RUS,1991-1996,1991-1995,5,developmentalism:partially_aligned,0.5,0.500,0.500,7.57,9.16,0,"Yeltsin's first term attempted Russia's transition from Soviet command economy to market capitalism via shock therapy, mass voucher privatisat...",7,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/russia_yeltsin_first_term_1991_1996.yaml
russia_putin_first_term_2000_2004,RUS,2000-2004,2000-2004,5,developmentalism:aligned,1,1.000,1.000,18.25,21.50,0,Putin I state-capitalist vertical-of-power + oil boom economic school: 'Gref Programme' economic-liberal reforms (13% flat PIT effective 1 Jan...,5,0,mechanical/derived alignment; resource doctrine explicit,movements/russia_putin_first_term_2000_2004.yaml
russia_putin_second_term_2004_2008,RUS,2004-2008,2004-2008,5,developmentalism:aligned,1,1.000,1.000,17.35,19.10,0,"Putin II state-capitalist consolidation oil-boom-funded state-sector reassertion (Rosneft absorption of Yuganskneftegaz from Yukos 2004-5, Gaz...",5,0,mechanical/derived alignment; resource doctrine explicit,movements/russia_putin_second_term_2004_2008.yaml
russia_medvedev_presidency_2008_2012,RUS,2008-2012,2008-2012,5,developmentalism:aligned,1,1.000,1.000,15.56,19.10,0,Medvedev presidency under Putin's prime-ministerial tandem ('castling'). Economic school: Russian 'modernisation-theatre' rhetoric (innovation...,5,0,mechanical/derived alignment; resource link mainly WDI-threshold driven,movements/russia_medvedev_presidency_2008_2012.yaml
russia_putin_third_term_2012_2018,RUS,2012-2018,2012-2018,7,developmentalism:partially_aligned,0.5,0.643,1.000,11.67,14.47,0,Putin third term state-capitalist annexation and oil-revenue consolidation. Economic school: Russian resource-nationalist authoritarian state-...,6,0,partial developmentalism alignment; mechanical/derived alignment; resource doctrine explicit,movements/russia_putin_third_term_2012_2018.yaml
russia_putin_fourth_term_2018_2024,RUS,2018-2024,2018-2024,7,developmentalism:partially_aligned,0.5,0.643,1.000,13.19,18.51,3,"Putin fourth term constitutional entrenchment, Covid response, and the full-scale Ukraine invasion. Economic school: Russian war-economy state...",6,0,partial developmentalism alignment; mechanical/derived alignment; 3/7 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/russia_putin_fourth_term_2018_2024.yaml
russia_putin_fifth_term_2024_present,RUS,2024-2026,2024-2026,3,developmentalism:aligned,1,1.000,1.000,,,3,Putin fifth term entrenchment of the war-economy state-capitalism established post-2022. Continuity government with one notable reshuffle: Bel...,4,0,3/3 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/russia_putin_fifth_term_2024_present.yaml
rwanda_post_genocide_reconstruction_1994_2020,RWA,1994-2020,1994-2017,24,developmentalism:aligned,1,1.000,1.000,7.76,16.24,0,After the 1994 genocide the RPF-led government pursued a self-styled developmental state combining tight political control with business-frien...,5,1,long umbrella window; resource link mainly WDI-threshold driven,movements/rwanda_post_genocide_reconstruction_1994_2020.yaml
rwanda_kagame_fourth_term_2024_present,RWA,2024-2026,2024-2026,3,developmentalism:aligned,1,1.000,1.000,,,3,Continuation of the post-genocide developmental-authoritarian model. Programme: Vision 2050 long-term plan (high-income status by 2050) anchor...,4,0,3/3 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/rwanda_kagame_fourth_term_2024_present.yaml
saudi_khalid_1975_1982,SAU,1975-1982,1975-1981,7,developmentalism:aligned,1,1.000,1.000,59.69,87.28,0,"Khalid-era doctrine was a high-rent, high-spend state-capitalist development model financed by the 1973-74 and 1979 oil price shocks. Economic...",3,0,mechanical/derived alignment; resource doctrine explicit,movements/saudi_khalid_1975_1982.yaml
saudi_abdullah_de_facto_crown_prince_1995_2005,SAU,1995-2005,1996-2005,10,developmentalism:aligned,1,1.000,1.000,35.61,49.93,0,Economic school: cautious oil-rent gradualism with selective liberalisation Abdullah's signature was opening the economy incrementally (WTO ac...,5,0,mechanical/derived alignment; resource doctrine explicit,movements/saudi_abdullah_de_facto_crown_prince_1995_2005.yaml
saudi_abdullah_late_era_2005_2015,SAU,2005-2015,2005-2015,11,developmentalism:partially_aligned,0.5,0.591,1.000,44.48,55.02,0,"Cautious social-reform distributional monarchy, building on the 2003-04 post-9/11 opening. Economic school: welfare-rentier orthodoxy with cau...",4,1,partial developmentalism alignment; resource doctrine explicit,movements/saudi_abdullah_late_era_2005_2015.yaml
saudi_salman_transition_2015_2017,SAU,2015-2017,2015-2017,3,developmentalism:aligned,1,1.000,1.000,23.36,24.86,0,Transitional two-and-a-half-year period bridging Abdullah's cautious welfare-monarchy and the full MBS consolidation. Economic school: early-S...,3,1,resource doctrine explicit,movements/saudi_salman_transition_2015_2017.yaml
saudi_vision_2030_2016_present,SAU,2016-2026,2016-2026,11,developmentalism:aligned,1,1.000,1.000,23.80,29.27,5,"National transformation programme announced April 2016 targeting reduced oil-revenue dependence, expanded non-oil private-sector share, labour...",6,1,5/11 treated years use resource-country fallback; resource doctrine explicit,movements/saudi_vision_2030_2016_present.yaml
saudi_mbs_cp_era_2017_present,SAU,2017-2026,2017-2026,10,developmentalism:aligned,1,1.000,1.000,24.42,29.27,5,"Broad post-Ritz-Carlton consolidation under Crown Prince Mohammed bin Salman, fusing Vision 2030 sovereign-directed modernisation with hard ex...",10,1,5/10 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/saudi_mbs_cp_era_2017_present.yaml
senegal_senghor_socialist_democracy_1960_1980,SEN,1960-1980,1974;1977,2,developmentalism:partially_aligned,0.5,0.500,0.500,5.14,5.20,0,"Senghor's post-independence state advanced a moderate African socialism that paired electoral and administrative continuity with planning, coo...",3,0,partial developmentalism alignment; resource link mainly WDI-threshold driven,movements/senegal_senghor_socialist_democracy_1960_1980.yaml
syria_baath_assad_statist_regime_1963_2000,SYR,1963-2000,1963-1969;1974-1985;1988-1997;2000,30,developmentalism:partially_aligned,0.5,0.500,0.500,9.49,16.93,7,"Syria's Ba'athist governing regime fused Arab socialism, land reform, public ownership, five-year planning, and a security-centred one-party s...",3,0,partial developmentalism alignment; 7/30 treated years use resource-country fallback; long umbrella window; resource link mainly WDI-threshold driven,movements/syria_baath_assad_statist_regime_1963_2000.yaml
tunisia_bourguiba_state_modernisation_1956_1987,TUN,1956-1987,1956-1969;1974-1987,28,developmentalism:aligned,1,1.000,1.000,11.28,16.80,14,"Bourguiba's post-independence project presented the Tunisian state as the main engine of national modernisation: personal-status reform, secul...",3,0,14/28 treated years use resource-country fallback; long umbrella window; resource link mainly WDI-threshold driven,movements/tunisia_bourguiba_state_modernisation_1956_1987.yaml
tanzania_nyerere_ujamaa_1967_1985,TZA,1967-1985,1967-1985,19,developmentalism:partially_aligned,0.5,0.500,0.500,,,19,"The Arusha Declaration of February 1967 proclaimed a distinctly Tanzanian path of African socialism ('ujamaa', familyhood) based on rural comm...",5,1,partial developmentalism alignment; 19/19 treated years use resource-country fallback; resource doctrine explicit,movements/tanzania_nyerere_ujamaa_1967_1985.yaml
tanzania_suluhu_ccm_2021_present,TZA,2021-2026,2021-2026,6,developmentalism:aligned,1,1.000,1.000,6.69,6.69,5,Suluhu succeeded John Magufuli in March 2021. Programme: partial reversal of Magufuli's authoritarian populism '4Rs' framework (reconciliation...,4,0,5/6 treated years use resource-country fallback; resource doctrine explicit,movements/tanzania_suluhu_ccm_2021_present.yaml
venezuela_perez_first_term_1974_1979,VEN,1974-1979,1974-1979,6,developmentalism:aligned,1,1.000,1.000,25.06,36.48,0,First Perez presidency coincided with the 1973 OPEC price revolution quadrupling oil prices. Four doctrinal pillars: (1) iron-ore nationalisat...,5,2,resource doctrine explicit,movements/venezuela_perez_first_term_1974_1979.yaml
venezuela_herrera_copei_1979_1984,VEN,1979-1984,1979-1984,6,developmentalism:partially_aligned,0.5,0.583,1.000,24.15,36.48,0,"COPEI government confronted the reversal of the oil boom, terminal debt build-up, and the end of the Puntofijo-era fixed-exchange-rate regime....",5,2,partial developmentalism alignment; resource doctrine explicit,movements/venezuela_herrera_copei_1979_1984.yaml
venezuela_chavismo_bolivarian_1999_present,VEN,1999-2026,1999-2026,28,developmentalism:aligned,1,1.000,1.000,19.65,29.22,12,"Self-described 'socialism of the 21st century' combining nationalisation of strategic industries (oil via PDVSA 2002 politicisation, steel, ce...",6,2,mechanical/derived alignment; 12/28 treated years use resource-country fallback; long umbrella window; resource doctrine explicit,movements/venezuela_chavismo_bolivarian_1999_present.yaml
vietnam_linh_doi_moi_implementation_1986_1991,VNM,1986-1991,1989-1991,3,developmentalism:aligned,1,1.000,1.000,9.87,12.33,0,oi Moi (Renovation) implementation under Nguyen Van Linh 6th Party Congress Dec 1986 legitimised household-agriculture + private- enterprise +...,4,0,resource link mainly WDI-threshold driven,movements/vietnam_linh_doi_moi_implementation_1986_1991.yaml
vietnam_doi_moi_1986,VNM,1986-2026,1989-1997;1999-2014;2022-2026,30,developmentalism:aligned,1,1.000,1.000,8.69,13.92,5,"Partial market-oriented reform programme adopted at the VI Party Congress (December 1986) in response to stagnation, shortages, and hyperinfla...",6,1,5/30 treated years use resource-country fallback; long umbrella window; resource link mainly WDI-threshold driven,movements/vietnam_doi_moi_1986.yaml
vietnam_do_muoi_gs_era_1991_1997,VNM,1991-1997,1991-1997,7,developmentalism:aligned,1,1.000,1.000,7.54,10.26,0,"o Muoi era reform-consolidation doctrine at 7th Congress Jun 1991 deepening market transition after CMEA collapse, normalising international r...",5,0,resource link mainly WDI-threshold driven,movements/vietnam_do_muoi_gs_era_1991_1997.yaml
vietnam_khai_manh_doi_moi_deepening_1997_2006,VNM,1997-2006,1997;1999-2006,9,developmentalism:aligned,1,1.000,1.000,8.95,12.23,0,CPV oi Moi-deepening reformist continuity Khai-Manh period extended the market-transition programme launched in 1986 through a phase of aggres...,6,0,resource link mainly WDI-threshold driven,movements/vietnam_khai_manh_doi_moi_deepening_1997_2006.yaml
vietnam_dung_pm_2006_2016,VNM,2006-2016,2006-2014,9,developmentalism:aligned,1,1.000,1.000,8.93,13.92,0,"Pro-business, growth-first continuation of oi Moi inside the single- party frame, anchored on WTO accession (ratified 11 Jan 2007) and a bet t...",5,2,resource link mainly WDI-threshold driven,movements/vietnam_dung_pm_2006_2016.yaml
vietnam_trong_era_2011_2024,VNM,2011-2024,2011-2014;2022-2024,7,developmentalism:aligned,1,1.000,1.000,6.99,9.07,3,Continuation of the socialist-oriented market economy on the economic side deeper trade integration through CPTPP (in force for Vietnam 14 Jan...,6,2,3/7 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/vietnam_trong_era_2011_2024.yaml
vietnam_to_lam_2024_present,VNM,2024-2026,2024-2026,3,developmentalism:aligned,1,1.000,1.000,,,3,Elevation of the former Minister of Public Security to General Secretary on 3 August 2024 following Trong's death (19 July 2024) produced a go...,5,2,3/3 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/vietnam_to_lam_2024_present.yaml
southafrica_ramaphosa_anc_2018_present,ZAF,2018-2026,2021-2026,6,developmentalism:partially_aligned,0.5,0.500,0.500,7.33,7.33,5,"Ramaphosa assumed the presidency in February 2018 after the ANC recalled Jacob Zuma, positioning the administration as reformist-orthodox: res...",5,0,partial developmentalism alignment; 5/6 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/southafrica_ramaphosa_anc_2018_present.yaml
zimbabwe_mnangagwa_zanu_pf_2017_present,ZWE,2017-2026,2017;2021-2026,7,developmentalism:aligned,1,1.000,1.000,6.25,6.40,5,"ZANU-PF 'Second Republic' after the November 2017 military intervention removed Mugabe. Programme: National Development Strategy 1 (NDS1, 2021...",5,0,5/7 treated years use resource-country fallback; resource link mainly WDI-threshold driven,movements/zimbabwe_mnangagwa_zanu_pf_2017_present.yaml
